RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,block_num,Image,image_type,Sem,Condition,trial_num,Duration,x,y
P1,89,1,1003.1,578.5,1,1001,fil_non,non,fil,2,38,443.1,338.5
P1,89,2,1060.9,1052.1,1,1001,fil_non,non,fil,2,108,500.9,812.1
P1,89,3,942,662.1,1,1001,fil_non,non,fil,2,246,382,422.1
P1,89,4,1026.6,604.5,1,1001,fil_non,non,fil,2,360,466.6,364.5
P1,89,5,1006.2,700.8,1,1001,fil_non,non,fil,2,198,446.2,460.8
P1,89,6,1051.3,621.9,1,1001,fil_non,non,fil,2,362,491.3,381.9
P1,89,7,1016.5,775,1,1001,fil_non,non,fil,2,488,456.5,535
P1,89,8,991.3,681.5,1,1001,fil_non,non,fil,2,154,431.3,441.5
P1,89,9,1061.8,600.4,1,1001,fil_non,non,fil,2,320,501.8,360.4
P1,89,10,967.5,435.6,1,1001,fil_non,non,fil,2,262,407.5,195.6
P1,89,11,1049.8,621.1,1,1001,fil_non,non,fil,2,128,489.8,381.1
P1,87,1,1022.8,557.1,1,1002,fil_sem,sem,fil,1,266,462.8,317.1
P1,87,2,883.1,635.3,1,1002,fil_sem,sem,fil,1,144,323.1,395.3
P1,87,3,836.9,640.5,1,1002,fil_sem,sem,fil,1,166,276.9,400.5
P1,87,4,728,407.5,1,1002,fil_sem,sem,fil,1,208,168,167.5
P1,87,5,1126.5,585.2,1,1002,fil_sem,sem,fil,1,130,566.5,345.2
P1,87,6,1217.8,636.4,1,1002,fil_sem,sem,fil,1,392,657.8,396.4
P1,87,7,864.2,602.2,1,1002,fil_sem,sem,fil,1,696,304.2,362.2
P1,87,8,1105.1,442.2,1,1002,fil_sem,sem,fil,1,278,545.1,202.2
P1,87,9,866.6,647.5,1,1002,fil_sem,sem,fil,1,144,306.6,407.5
P1,87,10,865.6,668.8,1,1002,fil_sem,sem,fil,1,66,305.6,428.8
P1,101,1,1016.1,524.8,1,1004,fil_sem,sem,fil,5,408,456.1,284.8
P1,101,2,1101.9,475.1,1,1004,fil_sem,sem,fil,5,212,541.9,235.1
P1,101,3,1111.6,585.9,1,1004,fil_sem,sem,fil,5,152,551.6,345.9
