RECORDING_SESSION_LABEL,TRIAL_INDEX,image,image_type,image_num,CURRENT_FIX_START,TRIAL_FIXATION_TOTAL,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y
p10,249,raw,sem,1184,10,10,1,812.9,446.6
p10,249,raw,sem,1184,42,10,2,934.4,448.8
p10,249,raw,sem,1184,210,10,3,937,591.8
p10,249,raw,sem,1184,912,10,4,1030.5,460.6
p10,249,raw,sem,1184,1254,10,5,735.1,386.2
p10,249,raw,sem,1184,1480,10,6,761,509.2
p10,249,raw,sem,1184,1744,10,7,1092.1,452.1
p10,249,raw,sem,1184,1910,10,8,1037.6,459.2
p10,249,raw,sem,1184,2592,10,9,1190.8,408
p10,249,raw,sem,1184,2886,10,10,783.2,438.9
p11,263,raw,sem,1184,10,6,1,922.2,457.7
p11,263,raw,sem,1184,232,6,2,989.7,502.2
p11,263,raw,sem,1184,964,6,3,1094.8,471.8
p11,263,raw,sem,1184,2266,6,4,861.8,422.6
p11,263,raw,sem,1184,2574,6,5,753.9,417.9
p11,263,raw,sem,1184,2780,6,6,645,414.5
p12,248,raw,sem,1184,10,7,1,872.8,596.5
p12,248,raw,sem,1184,234,7,2,928.8,542.5
p12,248,raw,sem,1184,948,7,3,1052.8,430.8
p12,248,raw,sem,1184,1726,7,4,1260.3,429.4
p12,248,raw,sem,1184,1930,7,5,1184.6,381.3
p12,248,raw,sem,1184,2430,7,6,1262.3,500.7
p12,248,raw,sem,1184,2854,7,7,702.8,460.7
p13,261,raw,sem,1184,10,8,1,1041.3,435.8
p13,261,raw,sem,1184,220,8,2,981.2,533.5
p13,261,raw,sem,1184,958,8,3,1058.9,479.3
p13,261,raw,sem,1184,1670,8,4,1258.2,395.4
p13,261,raw,sem,1184,1990,8,5,1289.4,475.4
p13,261,raw,sem,1184,2298,8,6,1360.8,387.4
p13,261,raw,sem,1184,2596,8,7,745.3,377.8
p13,261,raw,sem,1184,2878,8,8,716.6,426.8
p14,263,raw,sem,1184,10,8,1,908.3,541.1
p14,263,raw,sem,1184,924,8,2,995.8,483.5
p14,263,raw,sem,1184,1074,8,3,1031.2,484
p14,263,raw,sem,1184,1352,8,4,1056.2,462.5
p14,263,raw,sem,1184,2028,8,5,1195.5,462.9
p14,263,raw,sem,1184,2348,8,6,706.5,462.1
p14,263,raw,sem,1184,2608,8,7,753,516.6
p14,263,raw,sem,1184,2972,8,8,1060.5,430.1
p15,252,raw,sem,1184,10,3,1,1231.9,691.6
p15,252,raw,sem,1184,298,3,2,1288.9,701
p15,252,raw,sem,1184,470,3,3,1052.4,571.6
p15,253,raw,sem,1184,76,8,1,980.8,531.4
p15,253,raw,sem,1184,840,8,2,1091.7,472.8
p15,253,raw,sem,1184,1500,8,3,793.7,391.7
p15,253,raw,sem,1184,1870,8,4,705,496.6
p15,253,raw,sem,1184,2126,8,5,626.2,470.5
p15,253,raw,sem,1184,2614,8,6,751.1,517.6
p15,253,raw,sem,1184,2824,8,7,879.5,505.5
p15,253,raw,sem,1184,2920,8,8,1114.8,439.6
p16,252,raw,sem,1184,10,4,1,872.7,468
p16,252,raw,sem,1184,338,4,2,935.1,520
p16,252,raw,sem,1184,1096,4,3,1037.4,456.9
p16,252,raw,sem,1184,2736,4,4,1048.4,443.9
P7,263,raw,sem,1184,10,3,1,875.4,571.1
P7,263,raw,sem,1184,584,3,2,943.7,556.5
P7,263,raw,sem,1184,1416,3,3,1055.8,427.8
p9,296,raw,sem,1184,10,8,1,911.9,548.8
p9,296,raw,sem,1184,262,8,2,967.4,565.1
p9,296,raw,sem,1184,722,8,3,900.8,628.1
p9,296,raw,sem,1184,910,8,4,964.6,600.4
p9,296,raw,sem,1184,1278,8,5,933.1,598.5
p9,296,raw,sem,1184,1442,8,6,966.5,584.1
p9,296,raw,sem,1184,2224,8,7,1028.8,507.3
p9,296,raw,sem,1184,2462,8,8,1096.9,473.1
p10,245,raw,sem,1183,10,9,1,973.5,542.5
p10,245,raw,sem,1183,230,9,2,949.2,593.9
p10,245,raw,sem,1183,958,9,3,808.4,711.5
p10,245,raw,sem,1183,1188,9,4,784.2,725.3
p10,245,raw,sem,1183,1496,9,5,1058.5,470.8
p10,245,raw,sem,1183,1934,9,6,1002.2,336.2
p10,245,raw,sem,1183,2484,9,7,1135.8,371.4
p10,245,raw,sem,1183,2658,9,8,844.6,334.6
p10,245,raw,sem,1183,2904,9,9,1264.7,312.9
p11,259,raw,sem,1183,10,7,1,958.8,515.9
p11,259,raw,sem,1183,422,7,2,964.5,490.6
p11,259,raw,sem,1183,1090,7,3,1009,511.1
p11,259,raw,sem,1183,1276,7,4,1112,438.1
p11,259,raw,sem,1183,1634,7,5,1108.6,421.4
p11,259,raw,sem,1183,2282,7,6,1081.4,447.2
p11,259,raw,sem,1183,2650,7,7,863.2,695.5
p12,244,raw,sem,1183,10,9,1,832.9,554.9
p12,244,raw,sem,1183,202,9,2,920.6,541.3
p12,244,raw,sem,1183,886,9,3,1065.5,447.3
p12,244,raw,sem,1183,1030,9,4,1054.2,342.9
p12,244,raw,sem,1183,1396,9,5,781,637.4
p12,244,raw,sem,1183,1592,9,6,835.7,643.6
p12,244,raw,sem,1183,1906,9,7,865.9,626
p12,244,raw,sem,1183,2366,9,8,833.8,633.5
p12,244,raw,sem,1183,2794,9,9,881.6,635.7
p13,256,raw,sem,1183,10,3,1,969,510.6
p13,256,raw,sem,1183,332,3,2,932.1,602.9
p13,256,raw,sem,1183,562,3,3,935,630.3
p14,259,raw,sem,1183,10,5,1,924.2,618
p14,259,raw,sem,1183,262,5,2,945.3,594.4
p14,259,raw,sem,1183,1310,5,3,1031.5,1.2
p14,259,raw,sem,1183,1884,5,4,1107.8,453.8
p14,259,raw,sem,1183,2260,5,5,1026.5,518.3
