RECORDING_SESSION_LABEL,TRIAL_INDEX,image_num,image_type,trial_num,CURRENT_FIX_DURATION,CURRENT_FIX_START,TRIAL_FIXATION_TOTAL,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y
P1,17,Hs.png,Global,0,438,10,9,1,987.3,531.1
P1,17,Hs.png,Global,0,26,704,9,2,923.6,1094.9
P1,17,Hs.png,Global,0,920,834,9,3,922.4,485.8
P1,17,Hs.png,Global,0,140,1784,9,4,867.5,304.9
P1,17,Hs.png,Global,0,146,1984,9,5,956.1,1151
P1,17,Hs.png,Global,0,152,2146,9,6,941.5,1150.2
P1,17,Hs.png,Global,0,58,2318,9,7,890.1,1158
P1,17,Hs.png,Global,0,468,2392,9,8,876.1,1154.8
P1,17,Hs.png,Global,0,112,2888,9,9,784.7,1146.3
P1,43,Hs.png,Global,0,12,16,12,1,112.3,121.8
P1,43,Hs.png,Global,0,150,134,12,2,983.3,553.4
P1,43,Hs.png,Global,0,24,302,12,3,1024.3,590.1
P1,43,Hs.png,Global,0,28,478,12,4,967.2,1097.6
P1,43,Hs.png,Global,0,118,650,12,5,1027,561.7
P1,43,Hs.png,Global,0,266,824,12,6,1315.5,1029.4
P1,43,Hs.png,Global,0,136,1116,12,7,1410.7,994.3
P1,43,Hs.png,Global,0,326,1276,12,8,1466.9,974.7
P1,43,Hs.png,Global,0,122,1658,12,9,1078.1,676.5
P1,43,Hs.png,Global,0,656,1802,12,10,1019.2,630.8
P1,43,Hs.png,Global,0,156,2716,12,11,1009.5,624.7
P1,43,Hs.png,Global,0,70,2930,12,12,1469.6,963.9
P1,44,Hs.png,Global,0,244,10,11,1,793.8,602.2
P1,44,Hs.png,Global,0,466,288,11,2,996.3,607.6
P1,44,Hs.png,Global,0,84,890,11,3,775.3,329.1
P1,44,Hs.png,Global,0,40,1244,11,4,920,555
P1,44,Hs.png,Global,0,356,1310,11,5,1005.3,613.5
P1,44,Hs.png,Global,0,110,1866,11,6,999.3,471.3
P1,44,Hs.png,Global,0,256,2010,11,7,1021.7,614
P1,44,Hs.png,Global,0,98,2354,11,8,1743.4,75.7
P1,44,Hs.png,Global,0,118,2496,11,9,1693,-233.4
P1,44,Hs.png,Global,0,28,2878,11,10,734.1,379
P1,44,Hs.png,Global,0,50,2950,11,11,1009,625
P1,45,Hs.png,Global,0,564,10,7,1,1017,618.5
P1,45,Hs.png,Global,0,132,598,7,2,958.1,613.9
P1,45,Hs.png,Global,0,210,750,7,3,1000.3,625.2
P1,45,Hs.png,Global,0,22,1110,7,4,897.8,1083
P1,45,Hs.png,Global,0,1496,1200,7,5,1000.7,637.5
P1,45,Hs.png,Global,0,132,2788,7,6,1728.8,-27.2
P1,45,Hs.png,Global,0,8,2992,7,7,1011.5,578.7
P1,46,Hs.png,Global,0,92,10,5,1,1059.4,621
P1,46,Hs.png,Global,0,140,140,5,2,854,618.9
P1,46,Hs.png,Global,0,932,314,5,3,1004.4,619.3
P1,46,Hs.png,Global,0,854,1380,5,4,1003.2,618.8
P1,46,Hs.png,Global,0,534,2370,5,5,995.1,626.7
P1,47,Hs.png,Global,0,92,136,4,1,963.2,487.7
P1,47,Hs.png,Global,0,610,262,4,2,993.2,603.7
P1,47,Hs.png,Global,0,84,1438,4,3,979.3,497.1
P1,47,Hs.png,Global,0,1450,1550,4,4,976.2,602.2
P1,59,Hs.png,Global,0,90,10,10,1,1008.7,638.7
P1,59,Hs.png,Global,0,166,120,10,2,1067.4,658.5
P1,59,Hs.png,Global,0,222,302,10,3,1030.3,659.6
