Image,P_ID,Condition,In_Out,X,Y
Uo.png,P1,Local,0.0,456.4,345.7
Uo.png,P1,Local,0.0,446.0,415.0
Uo.png,P1,Local,0.0,439.7,458.0
Uo.png,P1,Local,0.0,336.5,904.6
Uo.png,P1,Local,0.0,257.9,897.0
Uo.png,P1,Local,0.0,451.0,259.1
Uo.png,P1,Local,0.0,431.7,298.0
Uo.png,P1,Local,0.0,469.8,319.7
Uo.png,P1,Local,0.0,526.0,391.4
Uo.png,P1,Local,0.0,453.7,396.7
Uo.png,P1,Local,0.0,305.6,865.1
Uo.png,P1,Local,0.0,439.4,352.9
Uo.png,P1,Local,0.0,474.2,376.0
Uo.png,P1,Local,0.0,460.4,339.1
Uo.png,P1,Local,0.0,491.8,307.2
Uo.png,P1,Local,0.0,461.3,297.8
Uo.png,P1,Local,0.0,397.0,352.3
Uo.png,P1,Local,0.0,454.9,374.5
Uo.png,P1,Local,0.0,307.8,383.5
Uo.png,P1,Local,0.0,150.4,346.6
Uo.png,P1,Local,0.0,383.8,385.4
Uo.png,P1,Local,0.0,547.4,361.8
Uo.png,P1,Local,0.0,659.1,332.5
Uo.png,P1,Local,0.0,746.1,309.4
Uo.png,P1,Local,0.0,108.7,872.1
Uo.png,P1,Local,0.0,717.6,368.5
Uo.png,P1,Local,0.0,493.9,380.3
Uo.png,P1,Local,0.0,366.8,891.5
Uo.png,P1,Local,0.0,284.0,875.4
Uo.png,P1,Local,0.0,428.4,886.1
Uo.png,P1,Local,0.0,402.7,320.4
Uo.png,P1,Local,0.0,472.6,341.2
Uo.png,P1,Local,0.0,478.6,366.5
Uo.png,P1,Local,0.0,415.7,359.6
Uo.png,P1,Local,0.0,455.8,375.8
Uo.png,P1,Local,0.0,435.0,395.5
Uo.png,P1,Local,0.0,471.5,387.8
Uo.png,P1,Local,0.0,441.7,351.9
Uo.png,P1,Local,0.0,339.2,391.9
Uo.png,P1,Local,0.0,711.5,317.7
Uo.png,P1,Local,0.0,540.3,343.7
Uo.png,P1,Local,0.0,614.4,366.5
Uo.png,P1,Local,0.0,260.7,371.7
Uo.png,P1,Local,0.0,174.9,356.0
Uo.png,P1,Local,0.0,351.1,360.2
Uo.png,P1,Local,0.0,641.1,338.6
Uo.png,P1,Local,0.0,739.3,317.0
Uo.png,P1,Local,0.0,335.4,168.6
Uo.png,P1,Local,1.0,360.8,189.2
Uo.png,P1,Local,1.0,378.5,242.1
Uo.png,P1,Local,0.0,346.5,162.2
Uo.png,P1,Local,0.0,379.5,476.1
Uo.png,P1,Local,0.0,149.8,901.0
Uo.png,P1,Local,0.0,21.0,886.5
Uo.png,P1,Local,0.0,-28.5,877.0
Uo.png,P1,Local,0.0,57.1,889.9
Uo.png,P1,Local,0.0,373.0,493.4
Uo.png,P1,Local,0.0,329.2,227.2
Uo.png,P1,Local,0.0,271.7,270.7
Uo.png,P1,Local,0.0,436.6,388.5
Uo.png,P1,Local,0.0,-697.6,-595.7
Uo.png,P1,Local,0.0,269.4,170.3
Uo.png,P1,Local,0.0,1188.2,-350.9
Uo.png,P1,Local,0.0,1160.3,-564.5
Uo.png,P1,Local,0.0,481.2,257.5
Uo.png,P1,Local,0.0,418.8,362.9
Uo.png,P1,Local,0.0,447.0,255.9
Uo.png,P1,Local,0.0,415.7,134.9
Uo.png,P1,Local,0.0,457.4,282.5
Uo.png,P1,Local,0.0,397.7,332.8
Uo.png,P1,Local,0.0,423.1,466.8
Uo.png,P1,Local,0.0,327.1,859.2
Uo.png,P1,Local,0.0,467.3,835.0
Uo.png,P1,Local,0.0,361.1,418.7
Uo.png,P1,Local,1.0,378.8,294.1
Uo.png,P1,Local,0.0,471.3,355.1
Uo.png,P1,Local,0.0,456.4,345.7
Uo.png,P1,Local,0.0,446.0,415.0
Uo.png,P1,Local,0.0,439.7,458.0
Uo.png,P1,Local,0.0,336.5,904.6
Uo.png,P1,Local,0.0,257.9,897.0
Uo.png,P1,Local,0.0,451.0,259.1
Uo.png,P1,Local,0.0,431.7,298.0
Uo.png,P1,Local,0.0,469.8,319.7
Uo.png,P1,Local,0.0,526.0,391.4
Uo.png,P1,Local,0.0,453.7,396.7
Uo.png,P1,Local,0.0,305.6,865.1
Uo.png,P1,Local,0.0,439.4,352.9
Uo.png,P1,Local,0.0,474.2,376.0
Uo.png,P1,Local,0.0,460.4,339.1
Uo.png,P1,Local,0.0,491.8,307.2
Uo.png,P1,Local,0.0,461.3,297.8
Uo.png,P1,Local,0.0,397.0,352.3
Uo.png,P1,Local,0.0,454.9,374.5
Uo.png,P1,Local,0.0,307.8,383.5
Uo.png,P1,Local,0.0,150.4,346.6
Uo.png,P1,Local,0.0,383.8,385.4
Uo.png,P1,Local,0.0,547.4,361.8
Uo.png,P1,Local,0.0,659.1,332.5
Uo.png,P1,Local,0.0,746.1,309.4
Uo.png,P1,Local,0.0,108.7,872.1
Uo.png,P1,Local,0.0,717.6,368.5
Uo.png,P1,Local,0.0,493.9,380.3
