Image,P_ID,Condition,In_Out,X,Y
1001.0,P1,fil_non,1.0,443.1,338.5
1001.0,P1,fil_non,0.0,500.9,812.1
1001.0,P1,fil_non,1.0,382.0,422.1
1001.0,P1,fil_non,1.0,466.6,364.5
1001.0,P1,fil_non,1.0,446.2,460.8
1001.0,P1,fil_non,1.0,491.3,381.9
1001.0,P1,fil_non,0.0,456.5,535.0
1001.0,P1,fil_non,1.0,431.3,441.5
1001.0,P1,fil_non,1.0,501.8,360.4
1001.0,P1,fil_non,1.0,407.5,195.6
1001.0,P1,fil_non,1.0,489.8,381.1
1001.0,P7,fil_non,1.0,388.4,262.0
1001.0,P7,fil_non,1.0,383.6,338.0
1001.0,P7,fil_non,1.0,435.7,294.2
1001.0,P7,fil_non,1.0,338.2,322.6
1001.0,P7,fil_non,1.0,283.0,261.7
1001.0,P7,fil_non,1.0,193.2,180.0
1001.0,P7,fil_non,1.0,373.7,102.3
1001.0,P7,fil_non,1.0,479.1,276.3
1001.0,P7,fil_non,0.0,713.2,371.4
1001.0,P7,fil_non,1.0,381.9,312.5
1001.0,P7,fil_non,1.0,325.4,331.7
1001.0,P7,raw_non,1.0,371.1,249.6
1002.0,P1,fil_sem,0.0,462.8,317.1
1002.0,P1,fil_sem,0.0,323.1,395.3
1002.0,P1,fil_sem,0.0,276.9,400.5
1002.0,P1,fil_sem,1.0,168.0,167.5
1002.0,P1,fil_sem,1.0,566.5,345.2
1002.0,P1,fil_sem,1.0,657.8,396.4
1002.0,P1,fil_sem,0.0,304.2,362.2
1002.0,P1,fil_sem,0.0,545.1,202.2
1002.0,P1,fil_sem,0.0,306.6,407.5
1002.0,P1,fil_sem,0.0,305.6,428.8
1002.0,P7,fil_sem,1.0,395.4,275.1
1002.0,P7,fil_sem,1.0,222.7,286.7
1002.0,P7,fil_sem,1.0,610.6,365.7
1002.0,P7,fil_sem,1.0,133.1,111.8
1002.0,P7,fil_sem,1.0,230.7,300.2
1002.0,P7,raw_sem,0.0,374.8,251.4
1002.0,P7,raw_sem,1.0,207.5,294.0
1002.0,P7,raw_sem,0.0,208.0,236.6
1004.0,P1,fil_sem,1.0,456.1,284.8
1004.0,P1,fil_sem,1.0,541.9,235.1
1004.0,P1,fil_sem,1.0,551.6,345.9
1004.0,P1,fil_sem,0.0,570.5,442.9
1004.0,P1,fil_sem,1.0,331.0,164.1
1004.0,P1,fil_sem,0.0,549.9,456.6
1004.0,P1,fil_sem,1.0,498.4,311.4
1004.0,P1,fil_sem,1.0,425.3,224.8
1004.0,P7,fil_sem,0.0,381.5,281.9
1004.0,P7,fil_sem,1.0,435.8,171.3
1004.0,P7,fil_sem,1.0,496.4,165.2
1004.0,P7,fil_sem,1.0,283.3,78.0
1004.0,P7,raw_sem,0.0,389.0,267.1
1004.0,P7,raw_sem,0.0,409.2,177.4
1004.0,P7,raw_sem,1.0,278.9,87.5
1004.0,P7,raw_sem,0.0,282.7,275.0
1004.0,P7,raw_sem,1.0,317.2,270.2
1004.0,P7,raw_sem,1.0,277.6,89.1
1004.0,P7,raw_sem,1.0,497.0,158.0
1004.0,P7,raw_sem,1.0,278.7,75.4
1005.0,P1,fil_non,0.0,447.0,335.5
1005.0,P1,fil_non,1.0,355.3,287.6
1005.0,P1,fil_non,0.0,498.9,270.1
1005.0,P1,fil_non,0.0,401.9,219.7
1005.0,P1,fil_non,1.0,353.0,252.0
1005.0,P7,fil_non,0.0,408.7,258.4
1005.0,P7,fil_non,1.0,291.4,200.0
1005.0,P7,fil_non,1.0,323.9,203.6
1005.0,P7,fil_non,1.0,211.6,171.5
1005.0,P7,fil_non,1.0,501.5,195.3
1005.0,P7,fil_non,0.0,608.8,196.7
1005.0,P7,fil_non,1.0,310.7,207.4
1005.0,P7,fil_non,0.0,665.5,60.7
1005.0,P7,fil_non,0.0,657.1,182.5
1005.0,P7,fil_non,0.0,597.6,196.9
1005.0,P7,raw_non,0.0,395.1,251.0
1005.0,P7,raw_non,1.0,264.3,205.9
1005.0,P7,raw_non,1.0,316.7,193.2
1005.0,P7,raw_non,0.0,205.2,152.5
1007.0,P1,fil_non,1.0,459.5,286.8
1007.0,P1,fil_non,0.0,409.0,293.3
1007.0,P1,fil_non,1.0,264.5,121.0
1007.0,P1,fil_non,1.0,222.6,123.2
1007.0,P1,fil_non,0.0,407.0,119.2
1007.0,P1,fil_non,1.0,301.1,105.2
1007.0,P1,fil_non,1.0,309.0,179.6
1007.0,P1,fil_non,0.0,340.3,279.9
1007.0,P1,fil_non,0.0,369.4,287.7
1007.0,P7,fil_non,0.0,413.2,265.7
1007.0,P7,fil_non,1.0,230.4,108.6
1007.0,P7,fil_non,1.0,276.6,53.2
1007.0,P7,fil_non,1.0,270.1,23.9
1007.0,P7,fil_non,0.0,596.9,125.2
1007.0,P7,fil_non,1.0,560.3,175.7
1007.0,P7,fil_non,1.0,226.2,53.1
1007.0,P7,fil_non,1.0,267.6,46.6
1007.0,P7,fil_non,1.0,566.7,161.3
1007.0,P7,fil_non,0.0,399.2,297.8
1007.0,P7,fil_non,0.0,236.5,420.5
1007.0,P7,raw_non,0.0,396.0,240.8
1007.0,P7,raw_non,1.0,161.9,109.2
1007.0,P7,raw_non,1.0,247.7,55.3
1007.0,P7,raw_non,0.0,556.9,133.6
1007.0,P7,raw_non,1.0,240.4,33.0
1007.0,P7,raw_non,1.0,557.1,140.0
1007.0,P7,raw_non,1.0,192.0,42.8
1007.0,P7,raw_non,1.0,248.0,36.6
1007.0,P7,raw_non,1.0,171.9,46.1
1010.0,P1,fil_sem,0.0,403.9,331.1
1010.0,P1,fil_sem,1.0,445.8,282.9
1010.0,P1,fil_sem,0.0,645.1,-1118.1
1010.0,P1,fil_sem,0.0,592.2,288.3
1010.0,P1,fil_sem,1.0,475.5,261.6
1010.0,P1,fil_sem,1.0,461.9,249.9
1010.0,P7,fil_sem,1.0,410.4,248.9
1010.0,P7,fil_sem,1.0,380.5,199.5
1010.0,P7,fil_sem,1.0,131.9,162.3
1010.0,P7,fil_sem,1.0,113.2,317.3
1010.0,P7,fil_sem,0.0,549.6,145.2
1010.0,P7,fil_sem,0.0,674.2,115.3
1010.0,P7,fil_sem,1.0,138.8,304.3
1010.0,P7,fil_sem,0.0,300.8,426.4
1010.0,P7,fil_sem,0.0,371.5,60.9
1010.0,P7,fil_sem,0.0,602.7,10.0
1010.0,P7,fil_sem,1.0,423.0,131.0
1010.0,P7,raw_sem,1.0,392.7,255.2
1010.0,P7,raw_sem,1.0,414.6,179.4
1010.0,P7,raw_sem,1.0,172.0,132.4
1010.0,P7,raw_sem,0.0,622.2,-14.7
1010.0,P7,raw_sem,1.0,164.8,242.3
1010.0,P7,raw_sem,1.0,115.7,300.3
1010.0,P7,raw_sem,0.0,615.5,-3.0
1010.0,P7,raw_sem,0.0,431.3,87.5
1011.0,P1,fil_sem,0.0,436.8,269.8
1011.0,P1,fil_sem,0.0,360.5,329.3
1011.0,P1,fil_sem,0.0,658.2,486.2
1011.0,P1,fil_sem,0.0,1134.6,-463.1
1011.0,P1,fil_sem,0.0,1135.9,-737.5
1011.0,P1,fil_sem,0.0,1065.9,-868.8
1011.0,P1,fil_sem,0.0,-786.6,-764.8
1011.0,P1,fil_sem,0.0,-707.6,-644.7
1011.0,P1,fil_sem,0.0,-686.8,-461.9
1011.0,P1,fil_sem,0.0,327.5,721.1
1011.0,P1,fil_sem,0.0,215.2,261.0
1011.0,P1,fil_sem,1.0,358.3,223.1
1011.0,P7,fil_sem,1.0,399.0,259.0
1011.0,P7,fil_sem,1.0,333.0,205.2
1011.0,P7,fil_sem,1.0,566.3,316.4
1011.0,P7,fil_sem,1.0,246.3,325.9
1011.0,P7,fil_sem,1.0,320.8,213.3
1011.0,P7,fil_sem,1.0,194.1,308.9
1011.0,P7,fil_sem,1.0,357.7,182.9
1011.0,P7,fil_sem,0.0,700.8,112.5
1011.0,P7,fil_sem,0.0,653.3,119.0
1011.0,P7,fil_sem,0.0,259.6,181.6
1011.0,P7,raw_sem,1.0,392.5,245.6
1011.0,P7,raw_sem,1.0,333.3,196.2
1011.0,P7,raw_sem,1.0,193.5,269.0
1011.0,P7,raw_sem,1.0,206.4,325.8
1011.0,P7,raw_sem,1.0,344.3,234.7
1013.0,P1,fil_sem,1.0,415.3,293.2
1013.0,P1,fil_sem,0.0,478.2,806.4
1013.0,P1,fil_sem,1.0,437.2,330.2
1013.0,P1,fil_sem,1.0,379.1,247.0
1013.0,P1,fil_sem,1.0,341.6,328.2
1013.0,P1,fil_sem,1.0,301.4,315.4
1013.0,P1,fil_sem,0.0,180.8,730.3
1013.0,P1,fil_sem,1.0,300.7,179.0
1013.0,P1,fil_sem,0.0,423.5,797.8
1013.0,P7,fil_sem,1.0,417.2,249.8
1013.0,P7,fil_sem,1.0,319.2,224.9
1013.0,P7,fil_sem,1.0,187.1,266.7
1013.0,P7,fil_sem,1.0,371.2,203.5
1013.0,P7,fil_sem,1.0,731.7,281.9
1013.0,P7,fil_sem,0.0,580.9,292.4
1013.0,P7,fil_sem,0.0,225.0,144.0
1013.0,P7,fil_sem,1.0,392.2,189.9
1013.0,P7,fil_sem,1.0,176.9,261.2
1013.0,P7,raw_sem,1.0,415.5,271.9
1013.0,P7,raw_sem,1.0,286.7,216.0
1013.0,P7,raw_sem,1.0,389.5,196.1
1013.0,P7,raw_sem,1.0,217.3,282.9
1013.0,P7,raw_sem,1.0,153.7,256.6
1013.0,P7,raw_sem,1.0,230.0,253.4
1013.0,P7,raw_sem,1.0,191.6,254.3
1013.0,P7,raw_sem,1.0,246.9,262.6
1013.0,P7,raw_sem,1.0,283.2,261.3
1013.0,P7,raw_sem,1.0,156.5,291.1
1013.0,P7,raw_sem,1.0,217.7,288.6
1014.0,P1,fil_non,1.0,420.9,280.4
