P_ID,Fixation_Duration,In_Out,Response b correct,G/L/N
P 12,248,1,1,G
P 16,72,1,1,G
P 1,84,1,1,G
P 1,182,1,1,G
P 10,980,1,1,G
P 11,104,1,1,G
P 11,1988,1,1,G
P 11,928,1,1,G
P 11,294,1,1,G
P 11,342,1,1,G
P 11,902,1,1,G
P 11,122,1,1,G
P 11,284,1,1,G
P 11,338,1,1,G
P 12,1168,1,1,G
P 13,88,1,1,G
P 13,806,1,1,G
P 14,264,1,1,G
P 15,270,1,1,G
P7,784,1,1,G
P 1,920,1,1,G
P 11,2088,1,1,G
P 11,926,1,1,G
P 15,258,1,1,G
P 15,254,1,1,G
P 16,912,1,1,G
P 2,850,1,1,G
P 6,962,1,1,G
P 6,104,1,1,G
P7,774,1,1,G
P7,1670,1,1,G
P7,136,1,1,G
P7,1466,1,1,G
P7,540,1,1,G
P7,658,1,1,G
P7,1042,1,1,G
P7,2478,1,1,G
P7,1396,1,1,G
P 1,624,1,1,G
P 1,624,1,1,G
P 1,84,1,1,G
P 1,674,1,1,G
P 1,308,1,1,G
P 1,608,1,1,G
P 1,164,1,1,G
P 1,86,1,1,G
P 10,58,1,1,G
P 11,1974,1,1,G
P 11,1880,1,1,G
P 12,260,1,1,G
P 12,380,1,1,G
P 12,250,1,1,G
P 13,88,1,1,G
P 14,1020,1,1,G
P 15,1084,1,1,G
P 15,278,1,1,G
P 15,394,1,1,G
P 15,118,1,1,G
P 15,1034,1,1,G
P 16,1392,1,1,G
P 16,248,1,1,G
P 16,382,1,1,G
P 16,78,1,1,G
P 16,300,1,1,G
P 16,490,1,1,G
P 16,310,1,1,G
P 6,22,1,1,G
P7,188,1,1,G
P7,674,1,1,G
P7,996,1,1,G
P7,254,1,1,G
P 2,758,1,1,G
P 6,254,1,1,G
P7,990,1,1,G
P7,786,1,1,G
P 12,1778,1,1,G
P 12,158,1,1,G
P 12,1582,1,1,G
P 13,78,1,1,G
P 13,276,1,1,G
P 13,146,1,1,G
P 13,198,1,1,G
P 13,788,1,1,G
P 14,766,1,1,G
P 14,1140,1,1,G
P 14,48,1,1,G
P 14,1056,1,1,G
P 16,286,1,1,G
P 16,166,1,1,G
P 16,280,1,1,G
P 16,816,1,1,G
P 16,22,1,1,G
P 16,1582,1,1,G
P 16,226,1,1,G
P 16,850,1,1,G
P 2,312,1,1,G
P 2,344,1,1,G
P 2,262,1,1,G
P 2,1190,1,1,G
P 6,88,1,1,G
P 6,250,1,1,G
P 6,358,1,1,G
P 6,110,1,1,G
P7,98,1,1,G
P7,2654,1,1,G
P7,832,1,1,G
P7,260,1,1,G
P7,3402,1,1,G
P7,3810,1,1,G
P7,112,1,1,G
P7,1826,1,1,G
P 1,682,1,1,L
P 2,290,1,1,L
P7,1732,1,1,L
P 1,1238,1,1,L
P 1,128,1,1,L
P 10,86,1,1,L
P 10,664,1,1,L
P 11,210,1,1,L
P 11,678,1,1,L
P 11,1260,1,1,L
P 11,598,1,1,L
P 11,842,1,1,L
P 11,266,1,1,L
P 12,2176,1,1,L
P 12,1216,1,1,L
P 12,712,1,1,L
P 12,314,1,1,L
P 12,1278,1,1,L
P 12,754,1,1,L
P 12,716,1,1,L
P 1,142,1,1,L
P 1,22,1,1,L
P 1,126,1,1,L
P 1,126,1,1,L
P 11,800,1,1,N
P 13,1280,1,1,N
P 1,1660,1,1,N
P 10,766,1,1,N
P 10,1610,1,1,N
P 10,1556,1,1,N
P 11,60,1,1,N
P 11,212,1,1,N
P 11,338,1,1,N
P 11,508,1,1,N
P 11,322,1,1,N
P 11,706,1,1,N
P 11,460,1,1,N
P 11,330,1,1,N
P 11,418,1,1,N
P 11,130,1,1,N
P 12,284,1,1,N
P 12,1322,1,1,N
P 12,726,1,1,N
P 14,112,1,1,N
P 1,142,1,1,N
P 1,22,1,1,N
P 1,1182,1,1,N
P 1,1182,1,1,N
P 1,760,1,1,N
P 1,168,1,1,N
P 1,168,1,1,N
P 1,156,1,1,N
P 1,642,1,1,N
P 1,642,1,1,N
P 1,282,1,1,N
P 1,484,1,1,N
P 1,862,1,1,N
P 1,190,1,1,N
P 1,842,1,1,N
P 1,642,1,1,N
P 1,206,1,1,N
P 10,916,1,1,N
P 10,696,1,1,N
P 10,678,1,1,N
P 10,738,1,1,N
P 10,140,1,1,N
P 10,1060,1,1,N
P 10,56,1,1,N
P 10,994,1,1,N
P 10,924,1,1,N
P 10,832,1,1,N
P 11,902,1,1,N
P 11,808,1,1,N
P 11,1024,1,1,N
P 11,1054,1,1,N
P 11,764,1,1,N
P 11,156,1,1,N
P 11,890,1,1,N
P 11,356,1,1,N
P 11,1900,1,1,N
P 11,1174,1,1,N
P 11,940,1,1,N
P 11,1266,1,1,N
P 12,324,1,1,N
P 12,1624,1,1,N
P 12,724,1,1,N
P 12,238,1,1,N
P 12,1430,1,1,N
P 12,244,1,1,N
P 12,1848,1,1,N
P 12,682,1,1,N
P 12,232,1,1,N
P 12,234,1,1,N
P 12,1842,1,1,N
P 12,1330,1,1,N
P 12,258,1,1,N
P 12,252,1,1,N
P 12,1042,1,1,N
P 12,1236,1,1,N
P 12,606,1,1,N
P 12,298,1,1,N
P 12,1274,1,1,N
P 13,266,1,1,N
P 13,450,1,1,N
P 13,800,1,1,N
P 13,248,1,1,N
P 13,184,1,1,N
P 13,640,1,1,N
P 13,120,1,1,N
P 13,958,1,1,N
P 13,564,1,1,N
P 13,334,1,1,N
P 13,50,1,1,N
P 13,744,1,1,N
P 13,218,1,1,N
P 13,384,1,1,N
P 14,220,1,1,N
P 14,204,1,1,N
P 14,246,1,1,N
P 14,716,1,1,N
P 14,820,1,1,N
P 14,760,1,1,N
