RECORDING_SESSION_LABEL,TRIAL_INDEX,image,image_type,trial_num,CURRENT_FIX_DURATION,CURRENT_FIX_START,TRIAL_FIXATION_TOTAL,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,X,Y
P1,17,Hs.png,Global,0,438,10,9,1,987.3,531.1,427.3,291.1
P1,17,Hs.png,Global,0,26,704,9,2,923.6,1094.9,363.6,854.9
P1,17,Hs.png,Global,0,920,834,9,3,922.4,485.8,362.4,245.8
P1,17,Hs.png,Global,0,140,1784,9,4,867.5,304.9,307.5,64.9
P1,17,Hs.png,Global,0,146,1984,9,5,956.1,1151,396.1,911
P1,17,Hs.png,Global,0,152,2146,9,6,941.5,1150.2,381.5,910.2
P1,17,Hs.png,Global,0,58,2318,9,7,890.1,1158,330.1,918
P1,17,Hs.png,Global,0,468,2392,9,8,876.1,1154.8,316.1,914.8
P1,17,Hs.png,Global,0,112,2888,9,9,784.7,1146.3,224.7,906.3
P1,43,Hs.png,Global,0,12,16,12,1,112.3,121.8,-447.7,-118.2
P1,43,Hs.png,Global,0,150,134,12,2,983.3,553.4,423.3,313.4
P1,43,Hs.png,Global,0,24,302,12,3,1024.3,590.1,464.3,350.1
P1,43,Hs.png,Global,0,28,478,12,4,967.2,1097.6,407.2,857.6
P1,43,Hs.png,Global,0,118,650,12,5,1027,561.7,467,321.7
P1,43,Hs.png,Global,0,266,824,12,6,1315.5,1029.4,755.5,789.4
P1,43,Hs.png,Global,0,136,1116,12,7,1410.7,994.3,850.7,754.3
P1,43,Hs.png,Global,0,326,1276,12,8,1466.9,974.7,906.9,734.7
P1,43,Hs.png,Global,0,122,1658,12,9,1078.1,676.5,518.1,436.5
P1,43,Hs.png,Global,0,656,1802,12,10,1019.2,630.8,459.2,390.8
P1,43,Hs.png,Global,0,156,2716,12,11,1009.5,624.7,449.5,384.7
P1,43,Hs.png,Global,0,70,2930,12,12,1469.6,963.9,909.6,723.9
P1,44,Hs.png,Global,0,244,10,11,1,793.8,602.2,233.8,362.2
P1,44,Hs.png,Global,0,466,288,11,2,996.3,607.6,436.3,367.6
P1,44,Hs.png,Global,0,84,890,11,3,775.3,329.1,215.3,89.1
P1,44,Hs.png,Global,0,40,1244,11,4,920,555,360,315
P1,44,Hs.png,Global,0,356,1310,11,5,1005.3,613.5,445.3,373.5
P1,44,Hs.png,Global,0,110,1866,11,6,999.3,471.3,439.3,231.3
P1,44,Hs.png,Global,0,256,2010,11,7,1021.7,614,461.7,374
P1,44,Hs.png,Global,0,98,2354,11,8,1743.4,75.7,1183.4,-164.3
P1,44,Hs.png,Global,0,118,2496,11,9,1693,-233.4,1133,-473.4
P1,44,Hs.png,Global,0,28,2878,11,10,734.1,379,174.1,139
P1,44,Hs.png,Global,0,50,2950,11,11,1009,625,449,385
P1,45,Hs.png,Global,0,564,10,7,1,1017,618.5,457,378.5
P1,45,Hs.png,Global,0,132,598,7,2,958.1,613.9,398.1,373.9
P1,45,Hs.png,Global,0,210,750,7,3,1000.3,625.2,440.3,385.2
P1,45,Hs.png,Global,0,22,1110,7,4,897.8,1083,337.8,843
P1,45,Hs.png,Global,0,1496,1200,7,5,1000.7,637.5,440.7,397.5
P1,45,Hs.png,Global,0,132,2788,7,6,1728.8,-27.2,1168.8,-267.2
P1,45,Hs.png,Global,0,8,2992,7,7,1011.5,578.7,451.5,338.7
P1,46,Hs.png,Global,0,92,10,5,1,1059.4,621,499.4,381
P1,46,Hs.png,Global,0,140,140,5,2,854,618.9,294,378.9
P1,46,Hs.png,Global,0,932,314,5,3,1004.4,619.3,444.4,379.3
P1,46,Hs.png,Global,0,854,1380,5,4,1003.2,618.8,443.2,378.8
P1,46,Hs.png,Global,0,534,2370,5,5,995.1,626.7,435.1,386.7
P1,47,Hs.png,Global,0,92,136,4,1,963.2,487.7,403.2,247.7
P1,47,Hs.png,Global,0,610,262,4,2,993.2,603.7,433.2,363.7
P1,47,Hs.png,Global,0,84,1438,4,3,979.3,497.1,419.3,257.1
P1,47,Hs.png,Global,0,1450,1550,4,4,976.2,602.2,416.2,362.2
P1,59,Hs.png,Global,0,90,10,10,1,1008.7,638.7,448.7,398.7
P1,59,Hs.png,Global,0,166,120,10,2,1067.4,658.5,507.4,418.5
P1,59,Hs.png,Global,0,222,302,10,3,1030.3,659.6,470.3,419.6
P1,59,Hs.png,Global,0,426,844,10,4,997.5,608.1,437.5,368.1
P1,59,Hs.png,Global,0,112,1568,10,5,964.4,554.8,404.4,314.8
P1,59,Hs.png,Global,0,496,1700,10,6,998.1,606.6,438.1,366.6
P1,59,Hs.png,Global,0,68,2396,10,7,1688.1,52.7,1128.1,-187.3
P1,59,Hs.png,Global,0,184,2524,10,8,1065.6,560.1,505.6,320.1
P1,59,Hs.png,Global,0,168,2758,10,9,1343.5,994.6,783.5,754.6
P1,59,Hs.png,Global,0,24,2976,10,10,918.1,1093.9,358.1,853.9
P1,60,Hs.png,Global,0,134,114,3,1,866.6,544.4,306.6,304.4
P1,60,Hs.png,Global,0,438,286,3,2,992.9,644.3,432.9,404.3
P1,60,Hs.png,Global,0,1900,1100,3,3,974.1,587.3,414.1,347.3
P1,13,Ht.png,Global,0,18,10,3,1,-40,-268.8,-600,-508.8
P1,13,Ht.png,Global,0,86,134,3,2,925.1,454.1,365.1,214.1
P1,13,Ht.png,Global,0,252,246,3,3,854,423.8,294,183.8
P1,14,Ht.png,Global,0,252,1638,3,1,926,1153.6,366,913.6
P1,14,Ht.png,Global,0,88,1960,3,2,1035.6,481.8,475.6,241.8
P1,14,Ht.png,Global,0,378,2082,3,3,1035.8,338.5,475.8,98.5
P1,15,Ht.png,Global,0,162,10,7,1,968.8,522.6,408.8,282.6
P1,15,Ht.png,Global,0,284,200,7,2,1013.7,584.5,453.7,344.5
P1,15,Ht.png,Global,0,176,546,7,3,840.1,1132.2,280.1,892.2
P1,15,Ht.png,Global,0,1082,788,7,4,1013.7,578.7,453.7,338.7
P1,15,Ht.png,Global,0,174,1894,7,5,993,647.9,433,407.9
P1,15,Ht.png,Global,0,606,2128,7,6,859.9,1124,299.9,884
P1,15,Ht.png,Global,0,236,2764,7,7,732.3,1119.8,172.3,879.8
P1,26,Ht.png,Global,0,18,10,3,1,238.4,380.3,-321.6,140.3
P1,26,Ht.png,Global,0,2428,132,3,2,1011.3,643.6,451.3,403.6
P1,26,Ht.png,Global,0,424,2576,3,3,1009,611.5,449,371.5
P1,27,Ht.png,Global,0,218,10,4,1,715,602.6,155,362.6
P1,27,Ht.png,Global,0,328,274,4,2,1025.6,628.2,465.6,388.2
P1,27,Ht.png,Global,0,1820,736,4,3,1013.8,617.2,453.8,377.2
P1,27,Ht.png,Global,0,422,2578,4,4,983.5,616.8,423.5,376.8
P1,63,Ht.png,Global,0,436,334,3,1,1013.2,602.3,453.2,362.3
P1,63,Ht.png,Global,0,1042,1100,3,2,1021.3,592,461.3,352
P1,63,Ht.png,Global,0,248,2448,3,3,1046.9,515.9,486.9,275.9
P1,64,Ht.png,Global,0,222,10,6,1,1227.9,567.1,667.9,327.1
P1,64,Ht.png,Global,0,108,270,6,2,1036.8,589.6,476.8,349.6
P1,64,Ht.png,Global,0,1234,402,6,3,961.7,583.8,401.7,343.8
P1,64,Ht.png,Global,0,418,1692,6,4,746.4,1139,186.4,899
P1,64,Ht.png,Global,0,226,2318,6,5,982.4,551.6,422.4,311.6
P1,64,Ht.png,Global,0,202,2566,6,6,1038.5,581.5,478.5,341.5
P1,33,Ll.png,None,0,198,10,8,1,953.1,624.9,393.1,384.9
P1,33,Ll.png,None,0,240,230,8,2,1021.3,651.3,461.3,411.3
P1,33,Ll.png,None,0,1010,718,8,3,1008.4,591.6,448.4,351.6
P1,33,Ll.png,None,0,156,1744,8,4,958.9,568.5,398.9,328.5
P1,33,Ll.png,None,0,270,1930,8,5,975.4,699.8,415.4,459.8
P1,33,Ll.png,None,0,242,2252,8,6,877.8,1105.1,317.8,865.1
P1,33,Ll.png,None,0,142,2544,8,7,1012.5,660,452.5,420
P1,33,Ll.png,None,0,280,2720,8,8,954.8,513.8,394.8,273.8
P1,36,Ll.png,None,0,894,10,5,1,1016.4,613.9,456.4,373.9
P1,36,Ll.png,None,0,22,1062,5,2,936.5,1088.1,376.5,848.1
P1,36,Ll.png,None,0,1262,1142,5,3,1014,619.4,454,379.4
P1,36,Ll.png,None,0,178,2618,5,4,1003.3,579.7,443.3,339.7
P1,36,Ll.png,None,0,184,2816,5,5,1008.5,582.3,448.5,342.3
P1,37,Ll.png,None,0,212,10,7,1,878.6,648.9,318.6,408.9
P1,37,Ll.png,None,0,676,252,7,2,1004.8,623,444.8,383
P1,37,Ll.png,None,0,670,1146,7,3,1016,594.9,456,354.9
P1,37,Ll.png,None,0,448,1834,7,4,1010.1,604.8,450.1,364.8
P1,37,Ll.png,None,0,112,2362,7,5,1702.5,178.5,1142.5,-61.5
P1,37,Ll.png,None,0,160,2534,7,6,1050.7,578.2,490.7,338.2
P1,37,Ll.png,None,0,270,2718,7,7,1005.8,610.3,445.8,370.3
P1,38,Ll.png,None,0,174,10,6,1,944.3,504.7,384.3,264.7
P1,38,Ll.png,None,0,456,214,6,2,993.8,623.1,433.8,383.1
P1,38,Ll.png,None,0,390,930,6,3,998.8,639.5,438.8,399.5
P1,38,Ll.png,None,0,668,1572,6,4,1010.9,605.5,450.9,365.5
P1,38,Ll.png,None,0,212,2444,6,5,1041.6,618.4,481.6,378.4
P1,38,Ll.png,None,0,134,2866,6,6,1007.4,563.9,447.4,323.9
P1,39,Ll.png,None,0,230,10,4,1,1296.5,622.8,736.5,382.8
P1,39,Ll.png,None,0,354,284,4,2,1008.5,650.4,448.5,410.4
P1,39,Ll.png,None,0,2030,782,4,3,1010.8,622.4,450.8,382.4
P1,39,Ll.png,None,0,90,2910,4,4,990.8,600.2,430.8,360.2
P1,40,Ll.png,None,0,216,14,6,1,942.9,550.4,382.9,310.4
P1,40,Ll.png,None,0,478,254,6,2,995.4,551.9,435.4,311.9
P1,40,Ll.png,None,0,472,990,6,3,1002.1,579.6,442.1,339.6
P1,40,Ll.png,None,0,846,1776,6,4,978.2,577.2,418.2,337.2
P1,40,Ll.png,None,0,168,2650,6,5,933.2,689.7,373.2,449.7
P1,40,Ll.png,None,0,160,2840,6,6,981.1,720.1,421.1,480.1
P1,65,Ll.png,None,0,156,458,9,1,971.5,455.5,411.5,215.5
P1,65,Ll.png,None,0,84,630,9,2,986.9,489.5,426.9,249.5
P1,65,Ll.png,None,0,48,1216,9,3,1019.4,496.1,459.4,256.1
P1,65,Ll.png,None,0,78,1610,9,4,912.2,435,352.2,195
P1,65,Ll.png,None,0,642,1704,9,5,933.9,487.6,373.9,247.6
P1,65,Ll.png,None,0,168,2362,9,6,959.9,489.4,399.9,249.4
P1,65,Ll.png,None,0,222,2554,9,7,926,442.5,366,202.5
P1,65,Ll.png,None,0,126,2802,9,8,935.3,527.6,375.3,287.6
P1,65,Ll.png,None,0,12,2988,9,9,1055,1124.2,495,884.2
P1,22,Lo.png,Local,0,18,10,6,1,-122.8,-346.8,-682.8,-586.8
P1,22,Lo.png,Local,0,128,134,6,2,887.7,411.2,327.7,171.2
P1,22,Lo.png,Local,0,1238,280,6,3,886.7,431.3,326.7,191.3
P1,22,Lo.png,Local,0,734,1680,6,4,853.1,380.6,293.1,140.6
P1,22,Lo.png,Local,0,96,2650,6,5,830,333.3,270,93.3
P1,22,Lo.png,Local,0,236,2764,6,6,829.4,330.2,269.4,90.2
P1,24,Lo.png,Local,0,142,66,5,1,1112.1,715.4,552.1,475.4
P1,24,Lo.png,Local,0,456,242,5,2,1009.4,608.8,449.4,368.8
P1,24,Lo.png,Local,0,256,906,5,3,1061.1,474.8,501.1,234.8
P1,24,Lo.png,Local,0,1030,1194,5,4,1019.6,593,459.6,353
P1,24,Lo.png,Local,0,510,2480,5,5,1001.9,627.6,441.9,387.6
P1,25,Lo.png,Local,0,316,10,8,1,1034.3,623.7,474.3,383.7
P1,25,Lo.png,Local,0,188,392,8,2,654.1,1068.3,94.1,828.3
P1,25,Lo.png,Local,0,78,882,8,3,1015.6,532.7,455.6,292.7
P1,25,Lo.png,Local,0,714,980,8,4,983.7,603.2,423.7,363.2
P1,25,Lo.png,Local,0,154,1716,8,5,942.2,571.3,382.2,331.3
P1,25,Lo.png,Local,0,270,1900,8,6,961.3,723.8,401.3,483.8
P1,25,Lo.png,Local,0,558,2212,8,7,784.9,1084.6,224.9,844.6
P1,25,Lo.png,Local,0,174,2826,8,8,917,704.6,357,464.6
P1,35,Lo.png,Local,0,290,82,8,1,1048.6,646.5,488.6,406.5
P1,35,Lo.png,Local,0,174,422,8,2,874.5,1081,314.5,841
P1,35,Lo.png,Local,0,126,650,8,3,997.8,741.6,437.8,501.6
P1,35,Lo.png,Local,0,508,988,8,4,1012.8,595.8,452.8,355.8
P1,35,Lo.png,Local,0,454,1754,8,5,1010.7,611.8,450.7,371.8
P1,35,Lo.png,Local,0,224,2224,8,6,977.6,626.2,417.6,386.2
P1,35,Lo.png,Local,0,210,2468,8,7,1024.3,641.8,464.3,401.8
P1,35,Lo.png,Local,0,48,2952,8,8,1066.4,529.9,506.4,289.9
P1,61,Lo.png,Local,0,132,264,8,1,1054.5,489.2,494.5,249.2
P1,61,Lo.png,Local,0,44,416,8,2,1019.3,529,459.3,289
P1,61,Lo.png,Local,0,298,796,8,3,1023.5,539.9,463.5,299.9
P1,61,Lo.png,Local,0,656,1446,8,4,998.4,524.2,438.4,284.2
P1,61,Lo.png,Local,0,90,2152,8,5,953.9,988.5,393.9,748.5
P1,61,Lo.png,Local,0,158,2348,8,6,969.9,581.2,409.9,341.2
P1,61,Lo.png,Local,0,170,2528,8,7,927.9,534.4,367.9,294.4
P1,61,Lo.png,Local,0,284,2716,8,8,917.9,523.6,357.9,283.6
P1,28,Lu.png,None,0,204,10,4,1,1106.6,618.8,546.6,378.8
P1,28,Lu.png,None,0,2362,236,4,2,1010.4,614.9,450.4,374.9
P1,28,Lu.png,None,0,34,2656,4,3,907.1,1096.9,347.1,856.9
P1,28,Lu.png,None,0,228,2772,4,4,993.5,603.3,433.5,363.3
P1,51,Lu.png,None,0,356,10,9,1,989.2,606.9,429.2,366.9
P1,51,Lu.png,None,0,52,382,9,2,1019.9,591.1,459.9,351.1
P1,51,Lu.png,None,0,340,790,9,3,1025.9,583.5,465.9,343.5
P1,51,Lu.png,None,0,68,1292,9,4,939.6,1064.4,379.6,824.4
P1,51,Lu.png,None,0,300,1410,9,5,1020.9,506.3,460.9,266.3
P1,51,Lu.png,None,0,58,1926,9,6,904.9,1110.6,344.9,870.6
P1,51,Lu.png,None,0,118,2046,9,7,1022.1,577.1,462.1,337.1
P1,51,Lu.png,None,0,216,2482,9,8,1013.9,504,453.9,264
P1,51,Lu.png,None,0,144,2716,9,9,1017.2,575.7,457.2,335.7
P1,52,Lu.png,None,0,202,10,7,1,1268.4,601.7,708.4,361.7
P1,52,Lu.png,None,0,138,252,7,2,1020.7,601.2,460.7,361.2
P1,52,Lu.png,None,0,88,408,7,3,979.1,599.2,419.1,359.2
P1,52,Lu.png,None,0,154,626,7,4,1004,606.1,444,366.1
P1,52,Lu.png,None,0,26,1016,7,5,899.2,1098.5,339.2,858.5
P1,52,Lu.png,None,0,54,1102,7,6,970.2,536.3,410.2,296.3
P1,52,Lu.png,None,0,1822,1178,7,7,957.5,583.9,397.5,343.9
P1,80,Lu.png,None,0,88,10,9,1,1107.6,597.2,547.6,357.2
P1,80,Lu.png,None,0,174,120,9,2,1050.5,622.4,490.5,382.4
P1,80,Lu.png,None,0,102,348,9,3,1384.5,931.6,824.5,691.6
P1,80,Lu.png,None,0,292,470,9,4,1401,993.3,841,753.3
P1,80,Lu.png,None,0,282,996,9,5,1020.7,582.5,460.7,342.5
P1,80,Lu.png,None,0,288,1506,9,6,1030,563.1,470,323.1
P1,80,Lu.png,None,0,584,1812,9,7,1017.9,594.6,457.9,354.6
P1,80,Lu.png,None,0,120,2684,9,8,1020.4,549,460.4,309
P1,80,Lu.png,None,0,174,2826,9,9,1042.2,575.2,482.2,335.2
P1,81,Lu.png,None,0,212,10,7,1,737.7,539.6,177.7,299.6
P1,81,Lu.png,None,0,174,266,7,2,1037.5,532.8,477.5,292.8
P1,81,Lu.png,None,0,78,714,7,3,1012.6,495,452.6,255
P1,81,Lu.png,None,0,528,816,7,4,1028.9,556.1,468.9,316.1
P1,81,Lu.png,None,0,138,1640,7,5,990.1,525.7,430.1,285.7
P1,81,Lu.png,None,0,736,1796,7,6,1015.8,542.3,455.8,302.3
P1,81,Lu.png,None,0,448,2552,7,7,964.1,561.7,404.1,321.7
P1,18,Ol.png,Global,0,240,10,6,1,1098,573.5,538,333.5
P1,18,Ol.png,Global,0,400,276,6,2,1026.6,553.4,466.6,313.4
P1,18,Ol.png,Global,0,42,836,6,3,1035.1,1052.3,475.1,812.3
P1,18,Ol.png,Global,0,938,908,6,4,1032,587.7,472,347.7
P1,18,Ol.png,Global,0,786,2038,6,5,1015.6,565.5,455.6,325.5
P1,18,Ol.png,Global,0,156,2844,6,6,969.2,447.6,409.2,207.6
P1,62,Ol.png,Global,0,216,10,11,1,1085.6,676.3,525.6,436.3
P1,62,Ol.png,Global,0,558,244,11,2,1022.3,623.7,462.3,383.7
P1,62,Ol.png,Global,0,192,938,11,3,999.6,731.1,439.6,491.1
P1,62,Ol.png,Global,0,40,1362,11,4,1655.3,-301.4,1095.3,-541.4
P1,62,Ol.png,Global,0,152,1442,11,5,1668.9,-485.1,1108.9,-725.1
P1,62,Ol.png,Global,0,46,1620,11,6,1538.5,-501.5,978.5,-741.5
P1,62,Ol.png,Global,0,36,1754,11,7,521.9,-376.8,-38.1,-616.8
P1,62,Ol.png,Global,0,126,1854,11,8,-64.1,-736.2,-624.1,-976.2
P1,62,Ol.png,Global,0,148,2048,11,9,1054.3,502.6,494.3,262.6
P1,62,Ol.png,Global,0,196,2222,11,10,1021.5,579.8,461.5,339.8
P1,62,Ol.png,Global,0,282,2718,11,11,1025.2,556.1,465.2,316.1
P1,74,Ol.png,Global,0,328,10,8,1,1029,581.6,469,341.6
P1,74,Ol.png,Global,0,238,356,8,2,998.9,554.2,438.9,314.2
P1,74,Ol.png,Global,0,116,810,8,3,811.5,348.6,251.5,108.6
P1,74,Ol.png,Global,0,170,962,8,4,959.5,532.8,399.5,292.8
P1,74,Ol.png,Global,0,176,1156,8,5,995.7,578.8,435.7,338.8
P1,74,Ol.png,Global,0,66,1498,8,6,-299.6,-621.9,-859.6,-861.9
P1,74,Ol.png,Global,0,28,2736,8,7,871.3,409.8,311.3,169.8
P1,74,Ol.png,Global,0,200,2800,8,8,991.3,581.7,431.3,341.7
P1,3,Ou.png,Global,0,110,10,10,1,928.6,547.2,368.6,307.2
P1,3,Ou.png,Global,0,728,144,10,2,979.1,536.7,419.1,296.7
P1,3,Ou.png,Global,0,164,898,10,3,939.4,434.4,379.4,194.4
P1,3,Ou.png,Global,0,182,1080,10,4,953.2,393.3,393.2,153.3
P1,3,Ou.png,Global,0,144,1300,10,5,977.5,621.7,417.5,381.7
P1,3,Ou.png,Global,0,196,1466,10,6,990.2,667.7,430.2,427.7
P1,3,Ou.png,Global,0,608,1700,10,7,935.4,423.7,375.4,183.7
P1,3,Ou.png,Global,0,308,2324,10,8,921.9,459.7,361.9,219.7
P1,3,Ou.png,Global,0,158,2652,10,9,905.2,513.6,345.2,273.6
P1,3,Ou.png,Global,0,138,2836,10,10,1017.5,514.8,457.5,274.8
P1,7,Ou.png,Global,0,784,10,4,1,1000.4,564.2,440.4,324.2
P1,7,Ou.png,Global,0,818,816,4,2,965.6,531.1,405.6,291.1
P1,7,Ou.png,Global,0,1240,1650,4,3,982.8,570.1,422.8,330.1
P1,7,Ou.png,Global,0,2,2998,4,4,991.2,527.8,431.2,287.8
P1,20,Ou.png,Global,0,24,10,9,1,939.5,564.5,379.5,324.5
P1,20,Ou.png,Global,0,978,62,9,2,1018.6,549.2,458.6,309.2
P1,20,Ou.png,Global,0,152,1068,9,3,980.4,455.8,420.4,215.8
P1,20,Ou.png,Global,0,354,1238,9,4,970.7,404.3,410.7,164.3
P1,20,Ou.png,Global,0,574,1622,9,5,935.5,490,375.5,250
P1,20,Ou.png,Global,0,142,2260,9,6,973.9,1134.2,413.9,894.2
P1,20,Ou.png,Global,0,150,2424,9,7,896.9,1154.6,336.9,914.6
P1,20,Ou.png,Global,0,152,2592,9,8,948.6,1152,388.6,912
P1,20,Ou.png,Global,0,186,2814,9,9,921.8,331.2,361.8,91.2
p10,11,Hs.png,Global,0,1502,10,1,1,958,574.5,398,334.5
p10,16,Hs.png,Global,0,144,10,2,1,903.3,587.3,343.3,347.3
p10,16,Hs.png,Global,0,1742,338,2,2,935.1,544.7,375.1,304.7
p10,22,Hs.png,Global,0,1462,10,2,1,935.1,545.6,375.1,305.6
p10,22,Hs.png,Global,0,188,1490,2,2,938.3,588.2,378.3,348.2
p10,4,Ht.png,Global,0,1864,10,1,1,943.9,577.7,383.9,337.7
p10,10,Ht.png,Global,0,1620,20,1,1,937.4,563.2,377.4,323.2
p10,32,Ht.png,Global,0,714,10,3,1,933.2,556,373.2,316
p10,32,Ht.png,Global,0,740,746,3,2,903.5,521.8,343.5,281.8
p10,32,Ht.png,Global,0,80,1702,3,3,924.4,481.8,364.4,241.8
p10,14,Ll.png,None,0,766,10,2,1,924.2,520.4,364.2,280.4
p10,14,Ll.png,None,0,774,792,2,2,886,541.7,326,301.7
p10,23,Ll.png,None,0,192,10,3,1,914.6,532.2,354.6,292.2
p10,23,Ll.png,None,0,678,218,3,2,942.5,552.8,382.5,312.8
p10,23,Ll.png,None,0,916,914,3,3,897.8,542,337.8,302
p10,40,Ll.png,None,0,170,102,3,1,939.5,459,379.5,219
p10,40,Ll.png,None,0,696,292,3,2,939.3,533.8,379.3,293.8
p10,40,Ll.png,None,0,1148,1008,3,3,881.7,511,321.7,271
p10,5,Lo.png,Local,0,1530,10,1,1,944.3,568.5,384.3,328.5
p10,6,Lo.png,Local,0,474,10,2,1,938.9,610.3,378.9,370.3
p10,6,Lo.png,Local,0,1480,502,2,2,937.4,566.9,377.4,326.9
p10,15,Lo.png,Local,0,946,10,2,1,923.2,580.7,363.2,340.7
p10,15,Lo.png,Local,0,866,976,2,2,899.2,557,339.2,317
p10,43,Lu.png,None,0,738,10,3,1,958.5,518.8,398.5,278.8
p10,43,Lu.png,None,0,680,770,3,2,888.5,493.9,328.5,253.9
p10,43,Lu.png,None,0,140,1666,3,3,909.5,449.9,349.5,209.9
p10,47,Lu.png,None,0,58,44,4,1,924.4,546.1,364.4,306.1
p10,47,Lu.png,None,0,698,266,4,2,922.2,550.4,362.2,310.4
p10,47,Lu.png,None,0,1112,986,4,3,867.5,503.1,307.5,263.1
p10,47,Lu.png,None,0,110,2334,4,4,970.1,442.6,410.1,202.6
p10,48,Lu.png,None,0,218,10,4,1,1016.5,534,456.5,294
p10,48,Lu.png,None,0,688,252,4,2,961.3,553.4,401.3,313.4
p10,48,Lu.png,None,0,520,964,4,3,883.9,484,323.9,244
p10,48,Lu.png,None,0,106,1708,4,4,872.3,428.4,312.3,188.4
p10,21,Ol.png,Global,0,1338,10,2,1,925.7,564.6,365.7,324.6
p10,21,Ol.png,Global,0,264,1368,2,2,953.9,582.4,393.9,342.4
p10,27,Ol.png,Global,0,1696,10,1,1,930.2,525.1,370.2,285.1
p10,49,Ol.png,Global,0,218,10,4,1,882.1,539.9,322.1,299.9
p10,49,Ol.png,Global,0,702,246,4,2,934.4,551.1,374.4,311.1
p10,49,Ol.png,Global,0,772,972,4,3,899.7,468.7,339.7,228.7
p10,49,Ol.png,Global,0,110,1980,4,4,984.3,580.7,424.3,340.7
p10,35,Ou.png,Global,0,22,10,4,1,899,473.7,339,233.7
p10,35,Ou.png,Global,0,682,52,4,2,904.1,537.2,344.1,297.2
p10,35,Ou.png,Global,0,980,754,4,3,909.2,490.6,349.2,250.6
p10,35,Ou.png,Global,0,58,1980,4,4,913.7,488.2,353.7,248.2
p10,36,Ou.png,Global,0,94,10,2,1,976.2,496.2,416.2,256.2
p10,36,Ou.png,Global,0,1236,124,2,2,926,511.5,366,271.5
p10,42,Ou.png,Global,0,84,10,5,1,922.6,558.3,362.6,318.3
p10,42,Ou.png,Global,0,692,358,5,2,925,503.8,365,263.8
p10,42,Ou.png,Global,0,76,1454,5,3,1041.1,473.4,481.1,233.4
p10,42,Ou.png,Global,0,420,1704,5,4,909,479.4,349,239.4
p10,42,Ou.png,Global,0,96,2350,5,5,923.5,455.1,363.5,215.1
p10,21,Sh.png,Local,0,78,2218,6,6,951.8,436.7,391.8,196.7
p10,23,Sh.png,Local,0,56,10,4,1,887.6,465.9,327.6,225.9
p10,23,Sh.png,Local,0,1244,92,4,2,969.9,469.8,409.9,229.8
p10,23,Sh.png,Local,0,334,1354,4,3,974.4,488.6,414.4,248.6
p10,23,Sh.png,Local,0,48,1914,4,4,962.4,453.2,402.4,213.2
p10,42,Sh.png,Local,0,1684,10,2,1,964.4,550.3,404.4,310.3
p10,42,Sh.png,Local,0,160,1720,2,2,968.9,538.4,408.9,298.4
p10,12,Sh.png,Local,0,1140,10,3,1,967,523.4,407,283.4
p10,12,Sh.png,Local,0,186,1168,3,2,1016.8,562.6,456.8,322.6
p10,33,Ss.png,None,0,204,10,4,1,927.2,500.9,367.2,260.9
p10,33,Ss.png,None,0,704,232,4,2,943,569.7,383,329.7
p10,33,Ss.png,None,0,578,958,4,3,921.7,511,361.7,271
p10,33,Ss.png,None,0,66,1768,4,4,887.1,455.5,327.1,215.5
p10,37,Ss.png,None,0,478,10,5,1,958.2,545.2,398.2,305.2
p10,37,Ss.png,None,0,418,514,5,2,902,452.5,342,212.5
p10,37,Ss.png,None,0,454,1112,5,3,933.4,503.9,373.4,263.9
p10,2,Ss.png,None,0,156,1828,10,6,957.9,582.6,397.9,342.6
