RAW_Type0non_1social,RAW_Fixation_Duration,RAW_ZscoreDURATION_AllPs=(F2-350)/291.4,RAW_DUR_ZscorebyP,RAW_Fixation_Start,RAW_P_Navon_Zscore,RAW_NAVON_Z_GROUPminus1_0_1,RAW_NavonTemporalZscore,FILTER_Type0non_1social,FILTER_Fixation_Duration,FILTER_ZscoreDURATION_AllPs=(F2-350)/291.4,FILTER_DUR_ZscorebyP,FILTER_Fixation_Start,FILTER_P_Navon_Zscore,FILTER_NAVON_Z_GROUPminus1_0_1,FILTER_NavonTemporalZscore
0,588,0.8167467399,0.4937106918,10,-0.13,0,-0.36,0,108,-0.8304735758,-0.5652173913,10,-0.5,0,2.3
1,886,1.839396019,2.142857143,10,0.98,0,-0.51,1,20,-1.132463967,-0.947826087,10,-0.5,0,2.3
1,358,0.02745367193,-0.1477272727,10,0.45,0,,0,160,-0.6520247083,-0.7307692308,10,1.04,1,-1.07
1,866,1.770761839,1.295454545,10,0.45,0,,0,150,-0.6863417982,-0.7692307692,10,1.04,1,-1.07
1,200,-0.5147563487,-0.5629139073,40,-0.18,0,-0.18,0,184,-0.5696636925,-0.6384615385,10,1.04,1,-1.07
1,136,-0.7343857241,-0.8230769231,42,1.04,1,-1.07,0,142,-0.7137954701,-0.8,10,1.04,1,-1.07
0,220,-0.4461221688,-0.5397727273,46,0.45,0,,0,148,-0.6932052162,-0.7769230769,10,1.04,1,-1.07
1,336,-0.04804392588,-0.2046979866,48,-0.29,0,-0.64,0,780,1.475634866,1.653846154,10,1.04,1,-1.07
0,136,-0.7343857241,-0.7784090909,48,0.45,0,,0,566,0.7412491421,0.8307692308,10,1.04,1,-1.07
1,274,-0.2608098833,-0.3178807947,54,-0.18,0,-0.18,0,158,-0.6588881263,-0.7384615385,10,1.04,1,-1.07
0,692,1.173644475,0.8045325779,54,-0.89,0,0.35,0,116,-0.8030199039,-0.9,10,1.04,1,-1.07
1,142,-0.7137954701,-0.7535410765,54,-0.89,0,0.35,0,150,-0.6863417982,-0.7692307692,10,1.04,1,-1.07
1,980,2.161976664,1.956375839,56,-0.29,0,-0.64,0,170,-0.6177076184,-0.6923076923,10,1.04,1,-1.07
1,156,-0.6657515443,-0.3565217391,58,-0.5,0,2.3,0,144,-0.7069320522,-0.7923076923,10,1.04,1,-1.07
0,24,-1.118737131,-1.267857143,58,-0.5,0,-0.18,0,516,0.5696636925,0.6384615385,10,1.04,1,-1.07
1,138,-0.7275223061,-0.8153846154,60,1.04,1,-1.07,0,160,-0.6520247083,-0.7307692308,10,1.04,1,-1.07
0,170,-0.6177076184,-0.6622516556,60,-0.18,0,-0.18,0,758,1.400137268,1.569230769,10,1.04,1,-1.07
0,204,-0.5010295127,-0.4642857143,62,-0.5,0,-0.18,0,170,-0.6177076184,-0.6923076923,10,1.04,1,-1.07
