Image,Contour,X1,X2,Y1,Y2,Hot_Num
Hs.png,1.0,259.0,311.0,82.0,158.0,1.0
Ht.png,1.0,258.0,311.0,89.0,149.0,1.0
Ll.png,1.0,243.0,301.0,135.0,191.0,1.0
Lo.png,1.0,240.0,307.0,75.0,185.0,1.0
Lu.png,1.0,247.0,305.0,80.0,185.0,1.0
Ol.png,1.0,248.0,307.0,62.0,174.0,1.0
Ou.png,1.0,254.0,307.0,63.0,155.0,1.0
Sh.png,1.0,254.0,308.0,61.0,168.0,1.0
Ss.png,1.0,262.0,317.0,70.0,175.0,1.0
St.png,1.0,255.0,308.0,68.0,157.0,1.0
Th.png,1.0,258.0,310.0,49.0,104.0,1.0
Ts.png,1.0,259.0,310.0,53.0,118.0,1.0
Tt.png,1.0,250.0,307.0,51.0,124.0,1.0
Ul.png,1.0,255.0,312.0,107.0,179.0,1.0
Uo.png,1.0,256.0,314.0,78.0,166.0,1.0
Uu.png,1.0,252.0,311.0,73.0,176.0,1.0
